Date,Open,High,Low,Close,Adj Close,Volume,MA4,MA8
2016-09-19,129.91,130.73,127.3,127.96,127.96,83975500,127.66000000000007,126.14874999999998
2016-09-26,127.37,129.47,126.8,128.27,128.27,75684700,128.10000000000008,126.53874999999998
2016-10-03,128.38,129.28,127.55,128.99,128.99,64338300,128.57250000000008,127.05249999999997
2016-10-10,129.68,130.7,126.75,127.88,127.88,74234200,128.2750000000001,127.59249999999997
2016-10-17,128.2,132.13,127.32,132.07,132.07,73864300,129.30250000000007,128.48124999999996
2016-10-24,132.72,133.5,129.27,131.29,131.29,85178600,130.05750000000006,129.07874999999996
2016-10-31,132.01,132.12,119.25,120.75,120.75,171699500,127.99750000000006,128.28499999999997
2016-11-07,122.83,124.61,115.27,119.02,119.02,175072500,125.78250000000006,127.02874999999997
2016-11-14,119.13,119.13,113.55,117.02,117.02,159933400,122.02000000000005,125.66124999999997
2016-11-21,118.2,122.98,117.8,120.38,120.38,85835300,119.29250000000008,124.67499999999995
2016-11-28,120.12,122.1,114.0,115.4,115.4,135528600,117.95500000000007,122.97624999999996
2016-12-05,115.95,119.94,115.07,119.68,119.68,101153900,118.12000000000006,121.95124999999997
2016-12-12,119.22,122.5,117.61,119.87,119.87,118950500,118.83250000000007,120.42624999999998
2016-12-19,119.85,120.36,116.3,117.27,117.27,67518700,118.05500000000006,118.67374999999998
2016-12-26,116.96,118.68,114.77,115.05,115.05,52757900,117.96750000000006,117.96124999999998
2017-01-02,116.03,123.88,115.51,123.41,123.41,88332300,118.90000000000005,118.50999999999999
2017-01-09,123.55,129.27,123.04,128.34,128.34,102099700,121.01750000000004,119.92499999999998
2017-01-16,128.04,128.48,126.78,127.04,127.04,59733100,123.46000000000004,120.75749999999998
2017-01-23,127.31,133.14,126.95,132.18,132.18,90047200,127.74250000000005,122.85499999999998
2017-01-30,131.58,135.49,129.52,130.98,130.98,168057700,129.63500000000005,124.26749999999996
2017-02-06,130.98,134.94,130.3,134.19,134.19,85578000,131.09750000000005,126.05749999999996
2017-02-13,134.7,134.7,132.55,133.53,133.53,66225200,132.72000000000006,128.08999999999997
2017-02-20,133.5,136.79,132.9,135.44,135.44,73167400,133.53500000000003,130.63875
2017-02-27,135.26,137.82,134.75,137.17,137.17,70131200,135.0825,132.35875
2017-03-06,136.88,139.49,136.51,138.79,138.79,68309200,136.23250000000002,133.665
2017-03-13,138.71,140.34,138.49,139.84,139.84,77450000,137.81000000000003,135.265
2017-03-20,139.71,142.31,137.6,140.34,140.34,88737200,139.03500000000003,136.28499999999997
2017-03-27,139.05,142.95,138.77,142.05,142.05,67889800,140.25500000000002,137.66874999999996
2017-04-03,141.93,143.44,140.24,140.78,140.78,70592400,140.75250000000003,138.49249999999995
2017-04-10,141.0,141.43,138.81,139.39,139.39,48255600,140.64000000000001,139.22499999999994
2017-04-17,139.76,144.25,139.75,143.68,143.68,70241300,141.475,140.25499999999994
2017-04-24,144.96,151.53,144.34,150.25,150.25,86497000,143.52499999999998,141.88999999999993
2017-05-01,151.74,153.6,148.72,150.24,150.24,130245200,145.89,143.32124999999994
2017-05-08,150.71,152.59,148.86,150.33,150.33,66802200,148.625,144.63249999999994
2017-05-15,150.17,151.48,144.42,148.06,148.06,97135100,149.71999999999997,145.59749999999994
2017-05-22,148.08,152.59,147.25,152.13,152.13,78154500,150.18999999999997,146.85749999999993
2017-05-29,151.97,153.63,150.3,153.61,153.61,62634900,151.03249999999997,148.46124999999992
2017-06-05,153.64,155.59,146.61,149.6,149.6,91421300,150.84999999999997,149.7374999999999
2017-06-12,148.17,152.4,144.56,150.64,150.64,116339000,151.49499999999995,150.60749999999987
2017-06-19,151.71,155.2,151.71,155.07,155.07,79842700,152.22999999999993,151.20999999999987
2017-06-26,156.25,156.5,148.92,150.98,150.98,95769100,151.57249999999993,151.30249999999987
2017-07-03,151.72,152.15,147.8,151.44,151.44,56764700,152.03249999999994,151.44124999999988
2017-07-10,151.69,160.32,151.51,159.97,159.97,80086200,154.36499999999995,152.9299999999999
2017-07-17,160.25,165.7,158.81,164.43,164.43,96122400,156.70499999999998,154.46749999999992
2017-07-24,164.64,175.49,163.86,172.45,172.45,161455400,162.0725,156.82249999999993
2017-07-31,172.0,172.72,166.91,169.62,169.62,78869200,166.6175,159.32499999999993
2017-08-07,169.95,173.05,166.85,168.08,168.08,72620200,168.645,161.50499999999994
2017-08-14,170.09,171.5,166.21,167.41,167.41,69772900,169.39,163.04749999999996
2017-08-21,167.16,169.87,165.82,166.32,166.32,59799900,167.85749999999996,164.96499999999995
2017-08-28,166.91,172.92,165.0,172.02,172.02,59717100,168.45749999999995,167.53749999999994
2017-09-04,171.27,173.49,169.55,170.95,170.95,56165200,169.17499999999993,168.90999999999994
2017-09-11,172.4,174.0,170.26,171.64,171.64,63953800,170.23249999999993,169.81124999999994
2017-09-18,171.99,173.05,169.22,170.54,170.54,61645200,171.2874999999999,169.57249999999993
2017-09-25,169.24,171.66,161.56,170.87,170.87,111376500,170.99999999999991,169.72874999999993
2017-10-02,171.39,172.37,168.29,172.23,172.23,61415600,171.31999999999994,170.24749999999995
2017-10-09,172.7,174.88,170.8,173.74,173.74,61204500,171.84499999999994,171.03874999999994
2017-10-16,174.49,176.74,172.63,174.98,174.98,66891900,172.95499999999996,172.12124999999995
2017-10-23,175.2,178.21,168.89,177.88,177.88,84107200,174.70749999999995,172.85374999999993
2017-10-30,179.26,182.9,176.71,178.92,178.92,138797700,176.37999999999994,173.84999999999994
2017-11-06,178.56,180.75,177.09,178.46,178.46,60415500,177.55999999999995,174.70249999999993
2017-11-13,177.5,179.98,176.4,179.0,179.0,57988600,178.56499999999994,175.75999999999993
2017-11-20,178.87,183.15,178.1,182.78,182.78,44359000,179.78999999999994,177.24874999999992
2017-11-27,182.56,184.25,172.34,175.1,175.1,114147800,178.83499999999995,177.6074999999999
2017-12-04,176.29,182.28,169.01,179.0,179.0,105188400,178.96999999999994,178.2649999999999
2017-12-11,179.3,180.49,176.6,180.18,180.18,86692500,179.26499999999993,178.9149999999999
2017-12-18,181.01,181.3,176.23,177.2,177.2,64156700,177.86999999999995,178.82999999999993
2017-12-25,176.63,178.94,174.67,176.46,176.46,40875700,178.20999999999995,178.52249999999992
2018-01-01,177.68,186.9,177.55,186.85,186.85,62493900,180.17249999999996,179.5712499999999
2018-01-08,187.2,188.9,177.4,179.37,179.37,128057600,179.96999999999997,179.6174999999999
2018-01-15,181.5,182.37,175.8,181.29,181.29,114307600,180.99249999999995,179.4312499999999
2018-01-22,180.8,190.66,180.41,190.0,190.0,106209700,184.37749999999994,181.2937499999999
2018-01-29,188.75,195.32,181.84,190.28,190.28,165475700,185.23499999999993,182.7037499999999
2018-02-05,186.93,190.61,167.18,176.11,176.11,176854500,184.41999999999993,182.1949999999999
2018-02-12,177.06,180.5,171.84,177.36,177.36,124398600,183.43749999999994,182.2149999999999
2018-02-19,175.77,183.39,175.11,183.29,183.29,81877200,181.75999999999993,183.06874999999988
2018-02-26,184.58,185.66,172.99,176.62,176.62,95460000,178.34499999999994,181.7899999999999
